snapshot_date,split_id,protocol,seed,subject,partition,ch,mean_contact,rank_mean_contact,dead_flag
2026-02-24,P1_seed0,P1,0,,test,114,0.00503838,106,0
2026-02-24,P1_seed0,P1,0,,test,115,0.00724267,104,0
2026-02-24,P1_seed0,P1,0,,test,116,0.00082661,112,0
2026-02-24,P1_seed0,P1,0,,test,117,0.00783310,102,0
2026-02-24,P1_seed0,P1,0,,test,118,0.03011218,86,0
2026-02-24,P1_seed0,P1,0,,test,119,0.09269829,66,0
2026-02-24,P1_seed0,P1,0,,test,12,0.12977760,56,0
2026-02-24,P1_seed0,P1,0,,test,120,0.23200157,44,0
2026-02-24,P1_seed0,P1,0,,test,121,0.40913206,24,0
2026-02-24,P1_seed0,P1,0,,test,122,0.55784294,3,0
2026-02-24,P1_seed0,P1,0,,test,123,0.54922259,4,0
2026-02-24,P1_seed0,P1,0,,test,13,0.06317654,72,0
2026-02-24,P1_seed0,P1,0,,test,14,0.10076757,65,0
2026-02-24,P1_seed0,P1,0,,test,15,0.06502657,71,0
2026-02-24,P1_seed0,P1,0,,test,16,0.06522338,70,0
2026-02-24,P1_seed0,P1,0,,test,17,0.08132257,68,0
2026-02-24,P1_seed0,P1,0,,test,18,0.08458965,67,0
2026-02-24,P1_seed0,P1,0,,test,19,0.02172801,90,0
2026-02-24,P1_seed0,P1,0,,test,2,0.01239913,95,0
2026-02-24,P1_seed0,P1,0,,test,20,0.18260185,50,0
2026-02-24,P1_seed0,P1,0,,test,21,0.12237748,59,0
2026-02-24,P1_seed0,P1,0,,test,22,0.10088565,64,0
2026-02-24,P1_seed0,P1,0,,test,23,0.05424129,76,0
2026-02-24,P1_seed0,P1,0,,test,24,0.05750836,74,0
2026-02-24,P1_seed0,P1,0,,test,25,0.10210588,63,0
2026-02-24,P1_seed0,P1,0,,test,26,0.14906514,52,0
2026-02-24,P1_seed0,P1,0,,test,27,0.13930329,54,0
2026-02-24,P1_seed0,P1,0,,test,28,0.21625664,48,0
2026-02-24,P1_seed0,P1,0,,test,29,0.11977957,61,0
2026-02-24,P1_seed0,P1,0,,test,3,0.00645542,105,0
2026-02-24,P1_seed0,P1,0,,test,30,0.05113167,79,0
2026-02-24,P1_seed0,P1,0,,test,31,0.01873647,93,0
2026-02-24,P1_seed0,P1,0,,test,32,0.04152726,81,0
2026-02-24,P1_seed0,P1,0,,test,33,0.12119661,60,0
2026-02-24,P1_seed0,P1,0,,test,34,0.17425704,51,0
2026-02-24,P1_seed0,P1,0,,test,35,0.23148986,45,0
2026-02-24,P1_seed0,P1,0,,test,36,0.22464082,46,0
2026-02-24,P1_seed0,P1,0,,test,37,0.00000000,118,1
2026-02-24,P1_seed0,P1,0,,test,38,0.00157449,109,0
2026-02-24,P1_seed0,P1,0,,test,39,0.00015745,117,0
2026-02-24,P1_seed0,P1,0,,test,4,0.00736076,103,0
2026-02-24,P1_seed0,P1,0,,test,40,0.00216493,108,0
2026-02-24,P1_seed0,P1,0,,test,41,0.06294037,73,0
2026-02-24,P1_seed0,P1,0,,test,42,0.21259595,49,0
2026-02-24,P1_seed0,P1,0,,test,43,0.30194844,34,0
2026-02-24,P1_seed0,P1,0,,test,44,0.00047235,114,0
2026-02-24,P1_seed0,P1,0,,test,45,0.00047235,115,0
2026-02-24,P1_seed0,P1,0,,test,46,0.00791183,101,0
2026-02-24,P1_seed0,P1,0,,test,47,0.04562094,80,0
2026-02-24,P1_seed0,P1,0,,test,48,0.00145641,110,0
2026-02-24,P1_seed0,P1,0,,test,49,0.01208424,96,0
2026-02-24,P1_seed0,P1,0,,test,5,0.01204487,97,0
2026-02-24,P1_seed0,P1,0,,test,50,0.35288329,29,0
2026-02-24,P1_seed0,P1,0,,test,51,0.05317851,78,0
2026-02-24,P1_seed0,P1,0,,test,52,0.14158630,53,0
2026-02-24,P1_seed0,P1,0,,test,53,0.26443613,40,0
2026-02-24,P1_seed0,P1,0,,test,54,0.34886833,30,0
2026-02-24,P1_seed0,P1,0,,test,55,0.43294627,21,0
2026-02-24,P1_seed0,P1,0,,test,56,0.00000000,120,1
2026-02-24,P1_seed0,P1,0,,test,57,0.29321000,35,0
2026-02-24,P1_seed0,P1,0,,test,58,0.00000000,121,1
2026-02-24,P1_seed0,P1,0,,test,59,0.28033852,37,0
2026-02-24,P1_seed0,P1,0,,test,6,0.05337532,77,0
2026-02-24,P1_seed0,P1,0,,test,60,0.40200748,25,0
2026-02-24,P1_seed0,P1,0,,test,61,0.45640622,18,0
2026-02-24,P1_seed0,P1,0,,test,62,0.44085810,20,0
2026-02-24,P1_seed0,P1,0,,test,63,0.34784491,31,0
2026-02-24,P1_seed0,P1,0,,test,64,0.00047235,113,0
2026-02-24,P1_seed0,P1,0,,test,65,0.30438890,33,0
2026-02-24,P1_seed0,P1,0,,test,66,0.43176540,22,0
2026-02-24,P1_seed0,P1,0,,test,67,0.49104507,14,0
2026-02-24,P1_seed0,P1,0,,test,68,0.56677819,0,0
2026-02-24,P1_seed0,P1,0,,test,69,0.47148199,15,0
2026-02-24,P1_seed0,P1,0,,test,7,0.03475694,83,0
2026-02-24,P1_seed0,P1,0,,test,70,0.36709309,28,0
2026-02-24,P1_seed0,P1,0,,test,71,0.25687857,41,0
2026-02-24,P1_seed0,P1,0,,test,72,0.02645149,89,0
2026-02-24,P1_seed0,P1,0,,test,73,0.22188546,47,0
2026-02-24,P1_seed0,P1,0,,test,74,0.33387129,32,0
2026-02-24,P1_seed0,P1,0,,test,75,0.46368825,16,0
2026-02-24,P1_seed0,P1,0,,test,76,0.53457981,8,0
2026-02-24,P1_seed0,P1,0,,test,77,0.51942531,11,0
2026-02-24,P1_seed0,P1,0,,test,78,0.52599882,9,0
2026-02-24,P1_seed0,P1,0,,test,79,0.50257823,13,0
